Name,Buy_Game,Price(in Rs)
MONSTER HUNTER RISE,https://store.steampowered.com/app/1446780/MONSTER_HUNTER_RISE/?snr=1_7_7_151_150_1," 3,499"
Forza Horizon 5,https://store.steampowered.com/app/1551360/Forza_Horizon_5/?snr=1_7_7_151_150_1," 3,499"
ARK: Survival Evolved,https://store.steampowered.com/app/346110/ARK_Survival_Evolved/?snr=1_7_7_151_150_1, 699
Wizard with a Gun,https://store.steampowered.com/app/1150530/Wizard_with_a_Gun/?snr=1_7_7_151_150_1,not found
World of Warships,https://store.steampowered.com/app/552990/World_of_Warships/?snr=1_7_7_151_150_1,Free to Play
Eternal Return,https://store.steampowered.com/app/1049590/Eternal_Return/?snr=1_7_7_151_150_1,Free To Play
Project Zomboid,https://store.steampowered.com/app/108600/Project_Zomboid/?snr=1_7_7_151_150_1, 529
Dune: Spice Wars,https://store.steampowered.com/app/1605220/Dune_Spice_Wars/?snr=1_7_7_151_150_1, 999
Football Manager 2022,https://store.steampowered.com/app/1569040/Football_Manager_2022/?snr=1_7_7_151_150_1," 2,799"
SMITE®,https://store.steampowered.com/app/386360/SMITE/?snr=1_7_7_151_150_1,Free to Play
Deep Rock Galactic,https://store.steampowered.com/app/548430/Deep_Rock_Galactic/?snr=1_7_7_151_150_1, 699
Car Mechanic Simulator 2021,https://store.steampowered.com/app/1190000/Car_Mechanic_Simulator_2021/?snr=1_7_7_151_150_1, 455
Soundfall,https://store.steampowered.com/app/1608700/Soundfall/?snr=1_7_7_151_150_1, 594
20 Minutes Till Dawn,https://store.steampowered.com/app/1966900/20_Minutes_Till_Dawn/?snr=1_7_7_151_150_1,not found
Mini Words: Top Games,https://store.steampowered.com/app/1336790/Mini_Words_Top_Games/?snr=1_7_7_151_150_1, 42
KHB-Soft Top Games,https://store.steampowered.com/bundle/499/KHBSoft_Top_Games/?snr=1_7_7_151_150_1, 457
WWE 2K22,https://store.steampowered.com/app/1255630/WWE_2K22/?snr=1_7_7_151_150_1," 3,299"
EA Play,https://store.steampowered.com/app/1289670/EA_Play/?snr=1_7_7_151_150_1, 315
TUNIC,https://store.steampowered.com/app/553420/TUNIC/?snr=1_7_7_151_150_1, 699
Dorfromantik,https://store.steampowered.com/app/1455840/Dorfromantik/?snr=1_7_7_151_150_1, 439
Hollow Knight: Silksong,https://store.steampowered.com/app/1030300/Hollow_Knight_Silksong/?snr=1_7_7_151_150_1,not found
Brigandine The Legend of Runersia,https://store.steampowered.com/app/1843940/Brigandine_The_Legend_of_Runersia/?snr=1_7_7_151_150_1, 764
Solasta: Crown of the Magister,https://store.steampowered.com/app/1096530/Solasta_Crown_of_the_Magister/?snr=1_7_7_151_150_1, 899
GUILTY GEAR -STRIVE-,https://store.steampowered.com/app/1384160/GUILTY_GEAR_STRIVE/?snr=1_7_7_151_150_1," 1,299"
Europa Universalis IV,https://store.steampowered.com/app/236850/Europa_Universalis_IV/?snr=1_7_7_151_150_1, 849
Sniper Elite 5,https://store.steampowered.com/app/1029690/Sniper_Elite_5/?snr=1_7_7_151_150_1," 1,099"
10 Minutes Till Dawn,https://store.steampowered.com/app/1888430/10_Minutes_Till_Dawn/?snr=1_7_7_151_150_1,Free To Play
Slay the Spire,https://store.steampowered.com/app/646570/Slay_the_Spire/?snr=1_7_7_151_150_1, 569
Minecraft Dungeons,https://store.steampowered.com/app/1672970/Minecraft_Dungeons/?snr=1_7_7_151_150_1," 1,099"
Tabletop Simulator,https://store.steampowered.com/app/286160/Tabletop_Simulator/?snr=1_7_7_151_150_1, 565
Top Games by Phoenixxx Games,https://store.steampowered.com/bundle/23724/Top_Games_by_Phoenixxx_Games/?snr=1_7_7_151_150_1, 259
UNCHARTED™: Legacy of Thieves Collection,https://store.steampowered.com/app/1659420/UNCHARTED_Legacy_of_Thieves_Collection/?snr=1_7_7_151_150_1,not found
F1® 2021,https://store.steampowered.com/app/1134570/F1_2021/?snr=1_7_7_151_150_1," 2,999"
Gloomhaven,https://store.steampowered.com/app/780290/Gloomhaven/?snr=1_7_7_151_150_1, 759
Black Skylands,https://store.steampowered.com/app/1143810/Black_Skylands/?snr=1_7_7_151_150_1, 370
Shop Titans,https://store.steampowered.com/app/1258080/Shop_Titans/?snr=1_7_7_151_150_1,Free To Play
Yu-Gi-Oh! Duel Links,https://store.steampowered.com/app/601510/YuGiOh_Duel_Links/?snr=1_7_7_151_150_1,Free to Play
Enter the Gungeon,https://store.steampowered.com/app/311690/Enter_the_Gungeon/?snr=1_7_7_151_150_1, 191
Aka,https://store.steampowered.com/app/1591450/Aka/?snr=1_7_7_151_150_1,not found
Hard West 2,https://store.steampowered.com/app/1282410/Hard_West_2/?snr=1_7_7_151_150_1,not found
NEEDY STREAMER OVERLOAD,https://store.steampowered.com/app/1451940/NEEDY_STREAMER_OVERLOAD/?snr=1_7_7_151_150_1, 479
Shadowverse CCG,https://store.steampowered.com/app/453480/Shadowverse_CCG/?snr=1_7_7_151_150_1,Free To Play
Timberborn,https://store.steampowered.com/app/1062090/Timberborn/?snr=1_7_7_151_150_1, 569
Choice of Games Top Rated,https://store.steampowered.com/bundle/9213/Choice_of_Games_Top_Rated/?snr=1_7_7_151_150_1, 708
Borderlands 2,https://store.steampowered.com/app/49520/Borderlands_2/?snr=1_7_7_151_150_1, 999
Bounty game,https://store.steampowered.com/app/1805360/Bounty_game/?snr=1_7_7_151_150_1, 672
Foxhole,https://store.steampowered.com/app/505460/Foxhole/?snr=1_7_7_151_150_1, 699
Door Kickers 2: Task Force North,https://store.steampowered.com/app/1239080/Door_Kickers_2_Task_Force_North/?snr=1_7_7_151_150_1, 476
Total War: WARHAMMER,https://store.steampowered.com/app/364360/Total_War_WARHAMMER/?snr=1_7_7_151_150_1," 2,699"
Farthest Frontier,https://store.steampowered.com/app/1044720/Farthest_Frontier/?snr=1_7_7_151_150_1,not found
